symptoms,disease
"Gatal-gatal, kulit merah dan bersisik, lecet-lecet kecil berisi cairan, kulit pecah dan mengeluarkan cairan",Eksim
"Kulit gatal, meradang, dan kemerahan, kulit kasar, kering, dan bersisik",Eksim
"Kulit gatal terutama saat malam, ruam kemerahan, kulit pecah-pecah dan bersisik, kadang berair",Eksim
"Ruam kulit yang gatal terus-menerus, kulit kering, menebal, dan bersisik, kemerahan di lipatan kulit",Eksim
"Sakit saat buang air kecil, sering buang air kecil, urin keruh atau berbau tajam, nyeri di perut bagian bawah",Infeksi Saluran Kemih
"Sering ingin kencing, terasa terbakar saat kencing, urin keruh dan berbau menyengat",Infeksi Saluran Kemih
"Nyeri atau sensasi terbakar saat buang air kecil, sering ingin kencing, sakit perut bagian bawah",Infeksi Saluran Kemih
"Rasa ingin selalu kencing, nyeri saat kencing, urin keruh atau berdarah, demam rendah",Infeksi Saluran Kemih
"Sering buang air kecil dalam jumlah sedikit, nyeri terbakar saat kencing, urin berbau tidak normal",Infeksi Saluran Kemih
"Kencing terasa sakit dan panas, sering kencing tapi sedikit, tekanan di perut bagian bawah, urin berbau tajam",Infeksi Saluran Kemih
"Terasa perih saat kencing, kencing tidak bisa ditahan, nyeri di perut bagian bawah, urin keruh atau kemerahan",Infeksi Saluran Kemih
"Nyeri persendian terutama saat pagi hari, sendi kaku, bengkak, kemerahan, dan hangat",Radang Sendi
"Sendi kaku dan nyeri, terutama di pagi hari, sendi bengkak dan terasa hangat",Radang Sendi
"Nyeri sendi yang memburuk di pagi hari, sendi bengkak dan sulit digerakkan, sendi terasa panas",Radang Sendi
"Sendi terasa sakit saat disentuh, bengkak, kemerahan, kaku di pagi hari",Radang Sendi
"Nyeri pada sendi, terutama setelah beraktivitas, sendi bengkak dan kaku",Radang Sendi
"Sendi-sendi jari tangan dan kaki terasa nyeri, kaku, bengkak, dan kemerahan, terutama di pagi hari",Radang Sendi
"Kekakuan sendi di pagi hari, nyeri sendi saat bergerak, sendi bengkak dan hangat saat dipegang",Radang Sendi
